Hotelname,Review,Reviewed By,Date,Rating
Treebo Crystal Studio,It was a pleasant stay there. Good staff with nice service. But rooms are not that calm because I was able to hear the noise coming from outside. And I had to wait even after my check-in time Which is not appreciable.,sanveg1432,2-Apr-18,4
Treebo Crystal Studio,The entry of the hotel is not very attractive. few items mentioned in the breakfast Menu were available. The food items ordered are very expensive and service very delayed. Only Overall very expensive for the facilities and service,Rajesh R,16-Jan-18,3
Treebo Crystal Studio,"Room is spacious and clean. Located at busy road, traffic noise continuously hear inside room. No restaurant and room service. No parking. Not value for money.

Just opposite a good restaurant is there",d_vijai,7-Nov-17,2
Treebo Crystal Studio,"It was a Wonderful experience there. Staffs are really cooperating and manager Sharad there is really cooperative since i had less cash and had paytm balance so he asked me to pay him via paytm and he paid the cash on my behalf..
So people please do visit treebo sakchi jamshedpur once",Nishant_R,25-Oct-17,5
Treebo Crystal Studio,"Treebo crystal studio is a nice place to stay. Situated in Sakchi, at the third floor, the hotel has good rooms, nicely maintained and spacious. The front office is courteous and helpful. The food is also good only problem is that they have a restaurant outside the hotel premises and hence takes time to deliver.",TravellerAnup,21-Oct-17,5
Treebo Crystal Studio,"Centrally located in Jamshedpur's market area. Well appointed comfortable rooms. Room size is good and decor attractive. Flip side is that it does not have any windows. But did not feel suffocated. Overall good value for money. The service is good. They do not have inhouse restaurant, but several restaurants around and hotel will help you to get food. Staff is polite and courteous.",Vivek Ray,20-Feb-17,5
Treebo Hangout Residency,"The hotel rooms are spacious and very clean which I liked the most. They do not have an in-house restaurant but the restaurant on the ground floor serves the purpose. I did not like the approach to the hotel. To sum it up, it is value for money hotel for short stay's.",Shiv2790,5-Apr-18,4
Treebo Hangout Residency,Rooms are spacious and Clean. Staff is very friendly and service was top notch. Location is good if you are looking for a place near Tata Steel. It doesn?t get better than this under 2K in Jamshedpur.,Atul S,24-Jan-18,5
Treebo Hangout Residency,"This hotel and hotel staff is very good .
And hotel is very neat and clean. I am very impressed and i want to stay next time in hotel treebo hangout regidency. We diside in future we stay only in hotel treebo.",Ymanish511,2-Jan-18,5
Treebo Hangout Residency,Room service ia pathetic..Staffs were too lazy when it comes to provide service on time.Rooms are not good at all. Complementary breakfast is just next to horrible.My first visit to Jamshedpur will be remebered because of this hotel,sankhashubhrabww,12-Dec-17,1
Treebo KC Manor,"Me and my wife stayed here for 1 night. The room and the toilet were very clean, linen and towels were also sparkling clean. Restaurant food was refreshing and delicious. Room service was good. I will definitely come back to this hotel and recommend it to all.",ShantanuSamaddar2014,16-Mar-18,5
Treebo KC Manor,Visited KC Manor Treebo for one night. Location is very good. 10 mins from the station and a string of shops on both sides. Initially the room allotted had some smell but they immediately changed the room. We had an early morning checkout so they packed breakfast as it was included in the room. For rate they offered very good stay.,roadtrippingagain,23-Feb-18,3
Treebo KC Manor,"Stayed for 5 nights with my parents. Was a very pleasant stay overall. The room service and response is excellent with very little delay in attending to any requests. The dining and breakfast area is also quite pleasant and breakfast is a worth opt-in since there is nothing much nearby. They have a good enough spread with slight variation every morning. The a-la carte dinner was wonderful too. We had 2 meals and were not disappointed at all. The taste and service were both good.

The only issue we faced was that the drain in the bathroom was not working well. The water kept getting retained on the floor which was super annoying and quite disgusting. Despite making multiple requests, there was no solution to this problem which is totally unacceptable. Please check this aspect before you opt for a room.",SunilSamuel,12-Feb-18,4
Treebo KC Manor,The stay was very comfortable and staffs were also courteous. The rooms very also very nice and spacious the bathroom was fantastic and the connectivity to all places was also good. The overall experience was amazing,namitaa6,21-Mar-18,5
Treebo KC Manor,"Should stay here if in Jamshedpur.
Value worth for the amount paid.Book only online that too in treebo.com.

Other websites and on the spot payment would be expensive",ayushmodi2018,24-Jan-18,5
Treebo KC Manor,The breakfast is very monotonous and definitely needs some variety and freshness. Each room should be provided newspapers early morning. The food menu for rooms also needs some more variety specially in the punjabi section.,pareshkm,27-Dec-17,5
Treebo KC Manor,"Wi-fi service was during my 4 nights stay & as per Treebo Gaurantee we should get a refund of 300/ day.

I informed front desk regarding no Wi-fi.",rajh153,23-Dec-17,4
Treebo KC Manor,I was staying in Room no. 205 then in 405. but in both the room there was wi-fi. I complained many times but didn't get the wi-fi/internet throughout my complete stay. service quality ha to be improved.,sanraut7,20-Dec-17,2
Treebo KC Manor,I stayed at KC Manor Jamshedpur on 7.12.2017. In november I stayed at the same hotel in room No 106. That room was good. This time they offered Room No 107 a room not up to the standard in comparison to room number 106. Asked several times for menu card for ordering food got after long waiting. In washroom the shower didn't lock when switched over to hot water section. So no hot water through shower. Last time I liked the hotel but next time definitely not to be checked in this hotel,AMITABHA67,11-Dec-17,2
Treebo KC Manor,Treebo is good hotel chain all view I am satisfied staff is good Manor halpfull oval all its value for money next time definitely must be try....food quality is good some improvement in breakfast and variety pls improve all done,tripvisiter,29-Nov-17,5
Hotel Rajhans,"Overall experience was OK. Area is good, public transport communication is very good. Services are Ok, staffs are good they help really. Food services are good but a bit costly with respect to the quality of food.",Shamim_kol,13-Jun-16,3
Hotel Rajhans,This is a nice budget hotel in Jamshedpur. Located in Bistupur area . Superb connectivity from that place to roam around the city. It was renovated recently and rooms are spacious and neat and clean. Excellent Wi-Fi facility is available also.,sarojsahoo,25-Feb-16,4
Hotel Rajhans,"this hotel is very old and not renovated since long. Overall it is located within a very prime location like bistupur, the management might not be interested to get benefit of the same. Price-wise is ok. Service are good. small rooms with uncomfortable pillows makes bad sleep all-together. Overall an average option.",kuntalganguly,26-Apr-14,3
Hotel Rajhans,"1. Hotel is situated in posh area (Bistupur)
2. In regard to communication from the Hotel is good in respect to public transport connectivity
3. Room service was good
4. Fooding charges are little bit higher, in consider with overall Hotel rating
5. Room rent is little bit higher, what it suppose to be",tapantapu,9-Sep-13,3
The Altira Hotel,"I had booked this hotel in the last week of January for accommodating the guests for a family function. At first very skeptical about the hotel, the first looks impressed me a lot. From then on each process was very heart warming experience. From booking the rooms, to getting the guests accommodated and their Hospitality. A great value for money hotel in the area which never had any hotel in the near vicinity,

Highly Recommended.

A big kudos and thank you to The ALTIRA Hotel staff.",Suman c,13-May-17,5
